เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,คลาสของขวัญ
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เครือญาติ,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เครือญาติ,เสื้อผ้า
ชาย,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,แฟน,น้ำหอม
ชาย,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,ครอบครัว,น้ำหอม
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,เพื่อน,น้ำหอม
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,เพื่อน,เสื้อผ้า
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,แฟน,น้ำหอม
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,แฟน,เสื้อผ้า
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,ครอบครัว,น้ำหอม
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,ครอบครัว,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,ครอบครัว,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เพื่อน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,แฟน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เพื่อน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,แฟน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,ครอบครัว,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,ครอบครัว,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เครือญาติ,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เครือญาติ,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,คนรู้จัก,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,คนรู้จัก,น้ำหอม
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,เพื่อน,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,เพื่อน,น้ำหอม
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,แฟน,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,แฟน,น้ำหอม
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,ครอบครัว,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,ครอบครัว,น้ำหอม
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,เครือญาติ,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,เครือญาติ,น้ำหอม
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,ครู/อาจารย์,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,ครู/อาจารย์,น้ำหอม
หญิง,วัยรุ่น ( 13 - 18 ปี ),เลี้ยงรุ่น,คนรู้จัก,เสื้อผ้า
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,แฟน,เสื้อผ้า
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,ครอบครัว,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เพื่อน,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เพื่อน,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,แฟน,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,แฟน,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,ครอบครัว,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,ครอบครัว,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เครือญาติ,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เครือญาติ,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,แฟน,น้ำหอม
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,แฟน,เสื้อผ้า
กะเทย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เครือญาติ,เสื้อผ้า
กะเทย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เครือญาติ,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,คนรู้จัก,น้ำหอม
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,เครือญาติ,น้ำหอม
หญิง,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,เครือญาติ,เสื้อผ้า
หญิง,วัยรุ่น ( 13 - 18 ปี ),เลี้ยงรุ่น,เครือญาติ,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,แฟน,น้ำหอม
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,ครอบครัว,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,แฟน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,ครอบครัว,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,ครอบครัว,น้ำหอม
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,แฟน,น้ำหอม
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,แฟน,เสื้อผ้า
ชาย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เครือญาติ,น้ำหอม
กะเทย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เพื่อน,น้ำหอม
กะเทย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เพื่อน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,ครอบครัว,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เครือญาติ,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เครือญาติ,เสื้อผ้า
เกย์,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,แฟน,น้ำหอม
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,เพื่อน,น้ำหอม
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,แฟน,น้ำหอม
ชาย,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,ครอบครัว,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เพื่อน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เพื่อน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เพื่อน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,แฟน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,แฟน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,แฟน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,ครอบครัว,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,ครอบครัว,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,ครอบครัว,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เครือญาติ,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เครือญาติ,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เครือญาติ,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,คนรู้จัก,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,คนรู้จัก,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,คนรู้จัก,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เพื่อน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,แฟน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,ครอบครัว,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เครือญาติ,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เพื่อน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,แฟน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,ครอบครัว,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เครือญาติ,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,เพื่อน,น้ำหอม
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,แฟน,น้ำหอม
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,ครอบครัว,น้ำหอม
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),ปีใหม่,เครือญาติ,น้ำหอม
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,เพื่อน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,แฟน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,ครอบครัว,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนปลาย ( 36 - 60 ปี ),เลี้ยงรุ่น,เครือญาติ,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,เพื่อน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,แฟน,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),ปีใหม่,คนรู้จัก,น้ำหอม
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,เพื่อน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,แฟน,เสื้อผ้า
หญิง,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,คนรู้จัก,เสื้อผ้า
ชาย,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,ครอบครัว,น้ำหอม
ชาย,วัยรุ่น ( 13 - 18 ปี ),ปีใหม่,ครอบครัว,เสื้อผ้า
กะเทย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,ครู/อาจารย์,น้ำหอม
กะเทย,ผู้ใหญ่ตอนต้น ( 19 - 35 ปี ),เลี้ยงรุ่น,ครู/อาจารย์,เสื้อผ้า
