เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,ราคา,คลาสของขวัญ
0,12,13,34.05,100,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.06,100,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.07,100,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.05,100,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.06,100,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.07,100,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.05,100,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.06,100,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.07,100,อาหารเสริมเพื่อสุขภาพ
0,12.1,13,34.05,200,อาหารเสริมเพื่อสุขภาพ
0,12.1,13,34.06,200,อาหารเสริมเพื่อสุขภาพ
0,12.1,13,34.07,200,อาหารเสริมเพื่อสุขภาพ
0,12.1,24,34.05,200,อาหารเสริมเพื่อสุขภาพ
0,12.1,24,34.06,200,อาหารเสริมเพื่อสุขภาพ
0,12.1,24,34.07,200,อาหารเสริมเพื่อสุขภาพ
0,12.1,22,34.05,200,อาหารเสริมเพื่อสุขภาพ
0,12.1,22,34.06,200,อาหารเสริมเพื่อสุขภาพ
0,12.1,22,34.07,200,อาหารเสริมเพื่อสุขภาพ
0.1,12,13,34.05,300,อาหารเสริมเพื่อสุขภาพ
0.1,12,13,34.06,300,อาหารเสริมเพื่อสุขภาพ
0.1,12,13,34.07,300,อาหารเสริมเพื่อสุขภาพ
0.1,12,24,34.05,300,อาหารเสริมเพื่อสุขภาพ
0.1,12,24,34.06,300,อาหารเสริมเพื่อสุขภาพ
0.1,12,24,34.07,300,อาหารเสริมเพื่อสุขภาพ
0.1,12,22,34.05,300,อาหารเสริมเพื่อสุขภาพ
0.1,12,22,34.06,300,อาหารเสริมเพื่อสุขภาพ
0.1,12,22,34.07,300,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,13,34.05,400,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,13,34.06,400,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,13,34.07,400,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,24,34.05,400,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,24,34.06,400,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,24,34.07,400,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,22,34.05,400,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,22,34.06,400,อาหารเสริมเพื่อสุขภาพ
0.1,12.1,22,34.07,400,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.2,500,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.21,500,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.22,500,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.2,500,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.21,500,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.22,500,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.2,500,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.21,500,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.22,500,อาหารเสริมเพื่อสุขภาพ
1,12.1,13,34.2,600,อาหารเสริมเพื่อสุขภาพ
1,12.1,13,34.21,600,อาหารเสริมเพื่อสุขภาพ
1,12.1,13,34.22,600,อาหารเสริมเพื่อสุขภาพ
1,12.1,24,34.2,600,อาหารเสริมเพื่อสุขภาพ
1,12.1,24,34.21,600,อาหารเสริมเพื่อสุขภาพ
1,12.1,24,34.22,600,อาหารเสริมเพื่อสุขภาพ
1,12.1,22,34.2,600,อาหารเสริมเพื่อสุขภาพ
1,12.1,22,34.21,600,อาหารเสริมเพื่อสุขภาพ
1,12.1,22,34.22,600,อาหารเสริมเพื่อสุขภาพ
1.1,12,13,34.2,700,อาหารเสริมเพื่อสุขภาพ
1.1,12,13,34.21,700,อาหารเสริมเพื่อสุขภาพ
1.1,12,13,34.22,700,อาหารเสริมเพื่อสุขภาพ
1.1,12,24,34.2,700,อาหารเสริมเพื่อสุขภาพ
1.1,12,24,34.21,700,อาหารเสริมเพื่อสุขภาพ
1.1,12,24,34.22,700,อาหารเสริมเพื่อสุขภาพ
1.1,12,22,34.2,700,อาหารเสริมเพื่อสุขภาพ
1.1,12,22,34.21,700,อาหารเสริมเพื่อสุขภาพ
1.1,12,22,34.22,700,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,13,34.2,800,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,13,34.21,800,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,13,34.22,800,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,24,34.2,800,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,24,34.21,800,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,24,34.22,800,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,22,34.2,800,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,22,34.21,800,อาหารเสริมเพื่อสุขภาพ
1.1,12.1,22,34.22,800,อาหารเสริมเพื่อสุขภาพ
